Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Balwyn North,6 Aquila St,5,h,3000000,VB,Marshall,2017-08-26,9.7,3104,5,4,2,830,335,1970,Boroondara City Council,-37.78739,145.07389,Southern Metropolitan,7809
Brunswick,5/113 Albert St,2,u,763562,S,Jellis,2017-10-28,5.2,3056,3,1,2,598,92,1970,Moreland City Council,-37.76459166666667,144.96243166666667,Northern Metropolitan,11918
Albanvale,51a President Rd,2,u,415000,SP,Biggin,2017-08-12,14.0,3021,2,1,1,218,92,1970,Brimbank City Council,-37.74839,144.7735,Western Metropolitan,1899
Meadow Heights,2/7 McNicol Cl,3,u,1056532,PI,YPA,2018-03-03,17.4,3048,3,1,2,565,139,1970,Hume City Council,-37.64923,144.92271142857143,Northern Metropolitan,4704
Vermont,3 Trinian St,4,h,1595000,S,Harcourts,2017-12-09,17.2,3133,4,2,2,616,289,2014,Maroondah City Council,-37.84009,145.19954,Eastern Metropolitan,4181
Kew,33 Disraeli St,3,h,1440000,S,Kay,2016-11-27,5.6,3101,3,1,1,298,130,1900,Boroondara City Council,-37.8021,145.0391,Southern Metropolitan,10331
Prahran,61a Princes St,3,t,1660000,PI,Marshall,2017-03-04,4.5,3181,3,1,2,115,139,1970,Stonnington City Council,-37.8526140909091,144.99909636363634,Southern Metropolitan,7717
Parkville,507 Royal Pde,4,h,1359154,S,Jellis,2016-06-04,2.6,3052,4,3,1,335,216,1970,Melbourne City Council,-37.7809,144.9588,Northern Metropolitan,2309
Aspendale Gardens,12 Pacific Dr,4,h,840000,VB,Barry,2017-07-22,21.5,3195,4,2,2,383,216,1970,Kingston City Council,-38.01958,145.12356,South-Eastern Metropolitan,2243
Carlton North,377 Canning St,3,h,1056532,S,Nelson,2016-07-26,3.2,3054,3,2,1,163,167,1883,Melbourne City Council,-37.7877,144.9743,Northern Metropolitan,3106
Glen Iris,5 Ventich St,5,h,2215000,S,Marshall,2017-08-12,7.3,3146,5,2,2,847,335,1970,Boroondara City Council,-37.85611,145.08776,Southern Metropolitan,10412
Middle Park,129 Hambleton St,3,h,1630000,S,Cayzer,2017-04-29,4.1,3206,3,1,0,143,139,1970,Port Phillip City Council,-37.8484,144.963,Southern Metropolitan,2019
Fawkner,31 Major Rd,3,h,840000,S,Stockdale,2017-10-14,13.1,3060,3,1,3,570,126,1968,Hume City Council,-37.70807,144.97282,Northern Metropolitan,5070
Kooyong,4/1 Monaro Rd,2,h,763562,S,Marshall,2016-09-10,6.2,3144,2,2,2,218,144,1975,Stonnington City Council,-37.8406,145.0341,Southern Metropolitan,394
Doncaster East,23 Lambert Pl,4,h,1400000,S,Barry,2017-06-17,14.3,3109,3,1,2,640,216,1970,Manningham City Council,-37.784164,145.155118,Eastern Metropolitan,10999
Lower Plenty,16 Byron Av,3,h,900000,VB,Morrison,2017-11-11,14.6,3093,3,2,3,621,139,1970,Banyule City Council,-37.7284,145.1187,Eastern Metropolitan,1624
Sunshine,8 Lorenz St,3,h,1145000,SP,Sweeney,2017-11-18,10.5,3020,3,1,2,537,139,1970,Brimbank City Council,-37.79152799999999,144.834043,Western Metropolitan,3755
Thornbury,2/167 Darebin Rd,2,u,763562,PI,McGrath,2016-08-28,6.5,3071,3,1,2,322,92,1970,Darebin City Council,-37.75841153846154,145.00087615384615,Northern Metropolitan,8870
Hawthorn,403/36 Lynch St,1,u,421500,S,Biggin,2017-11-11,5.3,3122,3,1,2,1438,52,1970,Boroondara City Council,-37.82438470588235,145.03300294117648,Southern Metropolitan,11308
Preston,113 Dundas St,3,h,1100000,PI,Harcourts,2017-08-26,8.4,3072,3,2,3,388,130,1970,Darebin City Council,-37.75323,145.01114,Northern Metropolitan,14577
Preston,2/25 Inverloch St,2,h,605000,S,Barry,2017-05-06,8.8,3072,3,1,2,388,92,1970,Darebin City Council,-37.7411592,144.9992796,Northern Metropolitan,14577
Keilor East,7 Neville St,4,h,970000,S,Nelson,2016-12-10,12.8,3033,4,2,4,659,216,1970,Brimbank City Council,-37.7467,144.8683,Western Metropolitan,5629
Thornbury,2/110 Normanby Av,2,u,491000,S,Nelson,2016-11-07,6.5,3071,3,1,2,322,92,1970,Darebin City Council,-37.75841153846154,145.00087615384615,Northern Metropolitan,8870
Doncaster East,100 George St,4,h,1359154,S,Jellis,2017-07-08,14.3,3109,4,3,1,653,28,1980,Manningham City Council,-37.78129,145.1512,Eastern Metropolitan,10999
Carnegie,7/177 Oakleigh Rd,2,u,580010,SP,hockingstuart,2017-07-08,10.1,3163,2,1,1,0,72,1970,Glen Eira City Council,-37.9003,145.06342,Southern Metropolitan,7822
Chadstone,8B Moorong St,4,h,890000,VB,Purplebricks,2016-02-04,13.6,3148,4,3,2,288,158,2014,Monash City Council,-37.8801,145.1051,Southern Metropolitan,3582
Burwood,165 Highbury Rd,4,h,1359154,PI,Ray,2017-05-06,11.7,3125,4,1,3,697,216,1970,Monash City Council,-37.8552,145.1123,Southern Metropolitan,5678
Bentleigh,8/28 Clairmont Av,3,t,782000,S,Buxton,2017-04-22,13.0,3204,3,1,2,513,139,1970,Glen Eira City Council,-37.923969523809525,145.03940523809524,Southern Metropolitan,6795
Balaclava,6/23 Gourlay St,2,u,442000,SP,Buxton,2016-09-17,6.6,3183,2,1,1,0,61,1960,Port Phillip City Council,-37.8726,144.9962,Southern Metropolitan,2952
Deer Park,31 Poole St,3,h,765000,S,Douglas,2017-10-28,14.8,3023,3,1,2,691,101,1960,Brimbank City Council,-37.77382,144.77038,Western Metropolitan,6388
Northcote,1/221 Westgarth St,3,t,865000,S,Love,2016-11-12,5.5,3070,3,1,2,184,108,2006,Darebin City Council,-37.7825,145.0104,Northern Metropolitan,11364
Aspendale,43 Tarongo Dr,4,h,1359154,SP,O'Brien,2018-02-24,21.5,3195,4,2,2,534,140,1970,Kingston City Council,-38.02242,145.10972,South-Eastern Metropolitan,2824
Reservoir,27 Ashton St,3,h,705000,S,Barry,2016-07-30,11.2,3073,3,1,1,437,139,1930,Darebin City Council,-37.7291,145.021,Northern Metropolitan,21650
Reservoir,2/43 McMahon Rd,2,u,763562,SP,Love,2017-08-19,12.0,3073,2,1,1,479,74,2000,Darebin City Council,-37.71146,145.02002,Northern Metropolitan,21650
Brighton,109B Carpenter St,3,h,1450000,PI,Nick,2017-08-26,10.5,3186,3,1,2,354,139,1970,Bayside City Council,-37.90829,145.00149,Southern Metropolitan,10579
Prahran,15/61 High St,2,u,763562,SP,hockingstuart,2016-11-19,4.5,3181,2,1,1,115,92,1970,Stonnington City Council,-37.8508,144.9874,Southern Metropolitan,7717
Bentleigh,37 Godfrey St,4,h,2700000,S,hockingstuart,2016-06-04,13.0,3204,4,3,2,628,216,1970,Glen Eira City Council,-37.9155,145.0401,Southern Metropolitan,6795
South Yarra,407/57 Toorak Rd,1,u,450000,S,Hodges,2016-10-15,3.3,3141,1,1,1,0,52,2013,Melbourne City Council,-37.8384,144.9886,Southern Metropolitan,14887
Ormond,6/307 Grange Rd,1,u,284000,S,Charlton,2017-11-18,11.4,3204,3,1,2,362,52,1970,Glen Eira City Council,-37.90105,145.04497500000002,Southern Metropolitan,3578
Canterbury,4/22 Rochester Rd,3,h,1500000,VB,Marshall,2017-09-09,8.4,3126,3,2,2,803,139,1987,Boroondara City Council,-37.82152,145.08286,Southern Metropolitan,3265
Maribyrnong,37 Woodruff Av,5,h,1330000,SP,hockingstuart,2017-10-28,4.3,3032,5,2,2,4748,335,1970,Maribyrnong City Council,-37.78737,144.89999,Western Metropolitan,4918
Melbourne,2009/568 Collins St,1,u,413392,W,Pagan,2018-01-06,0.0,3000,3,1,2,292,52,1970,Melbourne City Council,-37.812842,144.962956,Northern Metropolitan,17496
Craigieburn,15 Brecon Nk,4,h,1359154,SN,Barry,2017-07-15,20.6,3064,3,1,2,464,216,1970,Hume City Council,-37.58342083333333,144.91143666666667,Northern Metropolitan,15510
Skye,29 Edinburgh Dr,4,h,640000,VB,hockingstuart,2017-07-01,34.7,3977,4,2,2,631,216,1970,Frankston City Council,-38.10542,145.19951,South-Eastern Metropolitan,2756
Williamstown,95 Verdon St,5,h,1869914,SN,Greg,2018-03-03,6.8,3016,5,3,6,1543,640,1891,Hobsons Bay City Council,-37.85905,144.89222,Western Metropolitan,6380
Meadow Heights,103 Shankland Bvd,3,h,415000,S,FN,2018-02-24,17.4,3048,3,1,1,298,139,1970,Hume City Council,-37.64423,144.92637,Northern Metropolitan,4704
Wantirna South,34 Sylphide Wy,3,h,945000,S,iTRAK,2017-10-14,14.7,3152,3,2,2,767,166,1967,Knox City Council,-37.8803,145.22177,Eastern Metropolitan,7082
Thornbury,74 Clarendon St,3,h,1720000,SP,Nelson,2017-11-11,7.0,3071,3,1,6,664,179,1915,Darebin City Council,-37.7602,145.0054,Northern Metropolitan,8870
Reservoir,3/154 Leamington St,2,u,763562,SP,Love,2016-08-06,11.2,3073,2,1,2,146,92,1970,Darebin City Council,-37.7108,144.9931,Northern Metropolitan,21650
Bentleigh East,2/41 Elizabeth St,3,t,860000,VB,Buxton,2016-11-12,13.9,3165,3,2,1,254,117,1995,Glen Eira City Council,-37.9227,145.0558,Southern Metropolitan,10969
Preston,4 Evelyn St,5,h,1570000,SP,McGrath,2018-02-24,8.4,3072,5,3,2,564,317,1935,Darebin City Council,-37.7374,144.99115,Northern Metropolitan,14577
Port Melbourne,201 Stokes St,2,h,1515000,SP,Marshall,2017-08-26,3.5,3207,2,2,2,197,92,1970,Melbourne City Council,-37.83754,144.93954,Southern Metropolitan,8648
Albert Park,48 Kerferd Rd,3,h,2120000,S,Cayzer,2017-06-03,3.0,3206,3,1,2,225,139,1970,Port Phillip City Council,-37.84396,144.95659,Southern Metropolitan,3280
Murrumbeena,6 Maude St,4,h,1581000,S,Buxton,2017-11-18,10.1,3163,3,1,2,441,216,1970,Glen Eira City Council,-37.895472857142856,145.07087285714286,Southern Metropolitan,4442
Brighton,124 Cole St,4,h,1761000,S,Kay,2016-08-06,11.2,3186,4,2,3,615,135,1920,Bayside City Council,-37.8956,145.0026,Southern Metropolitan,10579
Fitzroy North,605/4 Bik La,2,u,720000,S,Woodards,2016-12-10,3.5,3068,2,2,1,4296,92,2011,Moreland City Council,-37.7846,144.9785,Northern Metropolitan,6244
Bentleigh East,2/15 Liverpool St,3,t,805000,S,hockingstuart,2016-05-14,13.9,3165,3,2,1,268,117,2000,Glen Eira City Council,-37.9196,145.0691,Southern Metropolitan,10969
Surrey Hills,47 Warrigal Rd,2,h,1170000,VB,Jellis,2017-11-25,10.2,3127,2,1,2,670,92,1970,Boroondara City Council,-37.8307,145.0994,Southern Metropolitan,5457
Balwyn,1 Prowse Av,6,h,4600000,SP,Philip,2016-07-26,9.7,3103,3,1,2,910,294,1970,Boroondara City Council,-37.808739230769234,145.0802746153846,Southern Metropolitan,5682
Greenvale,25 Lavinia St,4,h,579000,PI,Ray,2018-02-17,20.4,3059,3,1,2,759,216,1970,Hume City Council,-37.645725,144.8963125,Northern Metropolitan,4864
Essendon,3 Crisp St,5,h,1652000,S,Brad,2017-05-20,8.0,3040,5,2,1,697,196,1920,Moonee Valley City Council,-37.7459,144.9159,Western Metropolitan,9264
Werribee,20 Julian St,3,h,510000,S,hockingstuart,2017-10-14,14.7,3030,3,1,1,538,104,1962,Wyndham City Council,-37.8915,144.65569,Western Metropolitan,16166
Jacana,18 Freeland Gr,3,h,1056532,SN,Barry,2017-09-16,14.0,3047,3,1,3,540,139,1970,Hume City Council,-37.69249,144.91324,Northern Metropolitan,851
Windsor,2/4 Mary St,3,t,1056532,SN,Gary,2016-09-17,5.1,3181,3,2,2,122,133,1980,Port Phillip City Council,-37.8545,144.9965,Southern Metropolitan,4380
Northcote,1/28 Newmarket St,3,h,1350000,SA,Jellis,2017-12-09,5.3,3070,3,1,2,478,139,1970,Darebin City Council,-37.7736540909091,145.0032418181818,Northern Metropolitan,11364
Tarneit,146 Inverell Pky,3,h,536250,SP,YPA,2017-09-23,18.4,3029,3,1,2,448,139,1970,Wyndham City Council,-37.84688,144.68182,Western Metropolitan,10160
Essendon,3/25 Wright St,1,u,325000,S,Brad,2016-10-08,8.0,3040,1,1,1,0,52,1975,Moonee Valley City Council,-37.7447,144.9184,Western Metropolitan,9264
Reservoir,17 Crevelli St,3,h,1056532,PI,Purplebricks,2018-01-20,12.0,3073,3,1,2,479,139,1970,Darebin City Council,-37.73097,145.02951,Northern Metropolitan,21650
Wyndham Vale,59 Haines Dr,4,h,680000,SP,hockingstuart,2017-10-14,27.2,3024,4,2,2,347,301,2010,Wyndham City Council,-37.89378,144.61102,Western Metropolitan,5262
Nunawading,3/31 Mount Pleasant Rd,2,u,620500,S,Stockdale,2018-03-03,15.4,3131,3,1,2,557,92,1970,Manningham City Council,-37.820146666666666,145.17893333333333,Eastern Metropolitan,4973
St Albans,54 Charles St,3,h,706000,S,Barry,2017-11-18,14.0,3021,3,1,2,592,139,1970,Brimbank City Council,-37.742888888888885,144.8053011111111,Western Metropolitan,14042
Caulfield South,70 York St,5,h,1869914,SN,Gary,2017-03-04,9.3,3162,5,3,2,755,346,2004,Glen Eira City Council,-37.8898,145.0174,Southern Metropolitan,5051
Sandringham,26 Regent Ct,4,h,1770000,S,Charlton,2017-06-24,15.2,3191,4,2,2,463,233,1998,Bayside City Council,-37.95877,145.02701,Southern Metropolitan,4497
Croydon,2/107 Mount View Pde,3,t,1056532,PN,McGrath,2018-02-10,23.0,3136,3,1,2,742,139,1970,Maroondah City Council,-37.79378333333333,145.27551000000003,Eastern Metropolitan,11925
Lower Plenty,3 Beckett Ct,3,h,1056532,PI,Barry,2017-09-23,14.6,3093,3,2,2,621,139,1970,Banyule City Council,-37.73468,145.13253,Eastern Metropolitan,1624
St Kilda,81/3 Alfred Sq,2,u,715000,S,hockingstuart,2017-08-26,5.0,3182,2,1,1,149,92,1970,Port Phillip City Council,-37.86436,144.97406,Southern Metropolitan,13240
Avondale Heights,35 Bordeaux St,3,h,881000,S,Moonee,2017-11-18,9.5,3034,3,1,2,540,139,1970,Moonee Valley City Council,-37.7547,144.8639,Western Metropolitan,4502
Jacana,17 Bannister St,4,h,618000,S,YPA,2017-05-20,14.5,3047,4,1,2,604,216,1970,Hume City Council,-37.6875,144.9102,Northern Metropolitan,851
Mitcham,10 Sunninghill Ct,4,h,990000,S,Ray,2017-05-27,17.2,3132,4,2,2,708,216,1970,Whitehorse City Council,-37.80601,145.20106,Eastern Metropolitan,6871
Richmond,80 Hunter St,2,h,1101000,S,RT,2017-11-25,2.4,3121,2,1,2,96,92,1970,Yarra City Council,-37.8217,145.0051,Northern Metropolitan,14949
Sunshine,34 Union St,3,h,693000,S,GL,2017-10-28,10.5,3020,3,1,2,537,139,1970,Brimbank City Council,-37.78872,144.8415,Western Metropolitan,3755
Brooklyn,77 Corrigan Av,2,u,555000,S,Barlow,2017-07-29,6.4,3012,2,2,1,207,92,1970,Brimbank City Council,-37.82001,144.84245,Western Metropolitan,962
Lower Plenty,6/8 Longs Rd,2,u,540000,S,Ray,2018-03-17,14.6,3093,3,1,2,621,92,1970,Banyule City Council,-37.73059333333333,145.1234433333333,Eastern Metropolitan,1624
Maribyrnong,4 Kallara Gr,5,h,930000,VB,Nelson,2016-09-10,8.7,3032,5,2,2,330,335,1970,Maribyrnong City Council,-37.7859,144.8898,Western Metropolitan,4918
Balwyn North,3/1 Highbury St,3,t,1056532,SP,RW,2018-02-24,9.7,3104,3,1,2,724,139,1970,Boroondara City Council,-37.79191300000001,145.084641,Southern Metropolitan,7809
Braybrook,1/52 Lily St,4,t,760000,S,Barry,2017-11-18,8.6,3019,3,1,2,653,216,1970,Maribyrnong City Council,-37.790773333333334,144.85385666666667,Western Metropolitan,3589
Melbourne,2608/620 Collins St,2,u,750000,SP,MICM,2018-01-06,0.0,3000,3,1,2,292,92,1970,Melbourne City Council,-37.812842,144.962956,Northern Metropolitan,17496
Altona North,2/26 Jeffrey Av,3,t,671000,S,Village,2018-02-10,9.4,3025,3,1,2,1068,139,1970,Hobsons Bay City Council,-37.83794,144.84231,Western Metropolitan,5132
Balwyn North,41 Helston St,4,h,1800000,VB,Fletchers/One,2016-12-10,9.2,3104,4,2,4,587,165,1960,Boroondara City Council,-37.7841,145.0953,Southern Metropolitan,7809
Ascot Vale,68 South St,3,h,1375000,S,Brad,2017-06-24,4.3,3032,3,1,2,483,139,1970,Moonee Valley City Council,-37.7777,144.92512,Western Metropolitan,6567
Glen Iris,1492 High St,3,h,1056532,SN,Thomson,2017-05-13,9.2,3146,3,1,4,364,115,1940,Boroondara City Council,-37.8588,145.0451,Southern Metropolitan,10412
Preston,21 George St,2,h,630000,S,Nelson,2016-06-27,8.8,3072,2,1,1,372,82,1940,Darebin City Council,-37.7348,144.9852,Northern Metropolitan,14577
West Footscray,61 Cala St,3,h,765000,S,Jas,2018-03-17,6.4,3012,3,1,1,193,139,1970,Maribyrnong City Council,-37.80315,144.8664,Western Metropolitan,5058
Hadfield,2/32 David St,4,u,581000,S,Barry,2016-05-07,12.1,3046,3,1,2,398,216,1970,Moreland City Council,-37.708349999999996,144.94315,Northern Metropolitan,2606
Abbotsford,57 Stafford St,3,h,1056532,SP,Biggin,2017-12-09,3.0,3067,3,1,1,135,100,1900,Yarra City Council,-37.8009,144.99534,Northern Metropolitan,4019
Niddrie,24 The Avenue,3,h,850000,PI,Barry,2017-04-08,11.2,3042,3,2,2,795,139,1970,Moonee Valley City Council,-37.736,144.8771,Western Metropolitan,2291
Croydon North,8 Knee La,4,h,870000,VB,McGrath,2017-11-18,23.0,3136,4,2,2,1044,216,1970,Maroondah City Council,-37.7686,145.2777,Eastern Metropolitan,2985
Alphington,30 Kelvin Rd,3,h,1625000,VB,Jellis,2017-08-12,5.7,3078,3,2,1,300,139,1970,Darebin City Council,-37.77586,145.03092,Northern Metropolitan,2211
Brunswick West,24 Burnell St,3,h,1245000,S,Barry,2016-05-14,5.9,3055,3,1,1,412,139,1934,Moreland City Council,-37.7618,144.9455,Northern Metropolitan,7082
Mordialloc,385 Nepean Hwy,4,h,1359154,VB,Ray,2018-03-17,21.5,3195,4,1,2,717,216,1970,Kingston City Council,-37.99853,145.08427,South-Eastern Metropolitan,3650
Glen Iris,25 Aintree Rd,4,h,3120000,S,Marshall,2017-10-21,7.3,3146,4,2,2,725,276,1950,Boroondara City Council,-37.85647,145.04354,Southern Metropolitan,10412
Murrumbeena,2/41 Kangaroo Rd,3,u,1220500,S,Ray,2017-06-24,10.1,3163,3,2,2,462,139,1970,Glen Eira City Council,-37.89767,145.07332,Southern Metropolitan,4442
Ashwood,12 Beechwood Tce,3,t,1056532,SN,Ray,2016-12-03,12.2,3147,3,2,2,375,139,1970,Monash City Council,-37.8647,145.1016,Southern Metropolitan,2894
Coburg,14a Hardwick St,2,h,763562,SP,Nelson,2016-10-15,7.8,3058,2,1,1,174,84,1930,Darebin City Council,-37.7495,144.9688,Northern Metropolitan,11204
Cairnlea,1 Treemont Ct,4,h,771200,S,HAR,2017-11-25,14.8,3023,3,1,2,621,216,1970,Brimbank City Council,-37.810891171521824,145.00222747452605,Western Metropolitan,2674
Edithvale,2/26 Munro Av,3,t,1056532,W,O'Brien,2017-06-03,27.0,3196,3,1,2,528,139,1970,Kingston City Council,-38.037726666666664,145.11517666666666,South-Eastern Metropolitan,2546
Reservoir,21b Locksley Av,3,u,550000,S,Barry,2016-05-28,11.2,3073,3,1,2,479,139,1970,Darebin City Council,-37.712091395348835,145.0096858139535,Northern Metropolitan,21650
Hillside,33 Allenby Rd,5,h,650000,PI,Barry,2018-03-17,18.0,3037,5,2,2,666,157,1998,Brimbank City Council,-37.70382,144.75342,Western Metropolitan,5556
Elwood,2/89 Ormond Rd,1,u,413392,PI,McGrath,2017-02-25,7.7,3184,1,1,1,734,52,1970,Port Phillip City Council,-37.8849,144.9872,Southern Metropolitan,8989
Altona North,58a Clematis Av,4,t,780000,S,hockingstuart,2016-05-07,11.1,3025,3,1,2,1068,216,1970,Hobsons Bay City Council,-37.83794,144.84231,Western Metropolitan,5132
Surrey Hills,6/14 Broughton Rd,2,u,763562,VB,Noel,2017-11-25,10.2,3127,3,1,2,508,92,1970,Boroondara City Council,-37.82727764705882,145.09546647058824,Southern Metropolitan,5457
Pascoe Vale,3/34 Austin Cr,2,t,763562,PI,Barry,2016-09-24,9.9,3044,3,1,2,424,92,1970,Moreland City Council,-37.724265384615386,144.94037615384616,Northern Metropolitan,7485
Bentleigh East,2/25 Birdwood St,2,u,495000,S,Woodards,2016-06-04,13.9,3165,2,1,1,76,79,1980,Glen Eira City Council,-37.91,145.0842,Southern Metropolitan,10969
Hoppers Crossing,13 Quarrion Ct,3,h,585000,S,YPA,2017-11-11,18.4,3029,3,3,3,466,127,1998,Wyndham City Council,-37.8512,144.6753,Western Metropolitan,13830
Niddrie,21 Haldane Rd,3,h,1186000,S,Nelson,2017-09-16,10.4,3042,3,1,4,654,112,1955,Moonee Valley City Council,-37.73554,144.88517,Western Metropolitan,2291
Hadfield,1/32 Sutherland St,3,h,545000,S,Raine,2016-11-12,12.1,3046,3,2,3,230,113,2000,Moreland City Council,-37.7073,144.9486,Northern Metropolitan,2606
Moonee Ponds,12/43 Buckley St,1,u,413392,S,Nelson,2017-06-03,6.2,3039,1,1,1,0,52,1970,Moonee Valley City Council,-37.7581,144.92484,Western Metropolitan,6232
South Yarra,402/1 Chapel Mw,2,u,835000,S,Jellis,2017-11-18,2.7,3141,3,1,2,427,92,1970,Melbourne City Council,-37.84183,144.99143846153845,Southern Metropolitan,14887
Malvern East,8 Vickery St,4,h,3600000,S,Marshall,2017-06-24,8.4,3145,4,3,2,552,355,2015,Stonnington City Council,-37.87421,145.04958,Southern Metropolitan,8801
Brunswick,3 Austral Av,4,h,1500000,VB,Nelson,2018-03-03,5.2,3056,4,2,1,373,0,1940,Moreland City Council,-37.76289,144.95552,Northern Metropolitan,11918
Hampton East,10a Roydon St,3,t,1020000,S,Buxton,2016-05-14,14.5,3188,2,2,2,221,171,1970,Bayside City Council,-37.9355,145.0257,Southern Metropolitan,2356
Gisborne,21 Braeside Rd,4,h,807000,S,Raine,2017-07-15,45.9,3437,4,2,3,40468,216,1970,Macedon Ranges Shire Council,-37.50929,144.56444,Northern Victoria,3376
Nunawading,2/281 Springvale Rd,3,u,813000,S,Ray,2017-07-29,15.4,3131,3,2,2,266,134,2001,Manningham City Council,-37.82923,145.1744,Eastern Metropolitan,4973
Southbank,1212/80 Clarendon St,3,u,1056532,PN,LITTLE,2016-09-24,1.2,3006,3,1,2,0,139,1970,Melbourne City Council,-37.8262,144.95815,Southern Metropolitan,8400
Williamstown,5 Thompson St,2,h,940000,VB,Williams,2018-02-24,6.8,3016,2,2,1,122,92,1999,Hobsons Bay City Council,-37.86396,144.90541,Western Metropolitan,6380
Hampton,24 Gordon St,5,h,4500000,VB,Marshall,2017-11-18,13.8,3188,5,2,4,1088,324,1990,Bayside City Council,-37.9304,144.9973,Southern Metropolitan,5454
Brunswick,109 Stewart St,3,h,1080000,S,Nelson,2016-08-28,5.2,3056,3,2,1,316,139,1970,Moreland City Council,-37.7643,144.9713,Northern Metropolitan,11918
Oakleigh,8 Mill Rd,2,h,763562,PI,Branon,2017-10-07,12.3,3166,2,1,1,280,92,1970,Monash City Council,-37.90136,145.08831,Southern Metropolitan,3224
Glen Iris,7 Flowerdale Rd,3,h,2100000,VB,Marshall,2016-05-07,9.2,3146,3,2,2,904,139,1970,Boroondara City Council,-37.856,145.0705,Southern Metropolitan,10412
St Kilda,311/13 Wellington St,2,u,470000,VB,Jas,2016-07-26,6.1,3182,2,1,1,0,92,1970,Port Phillip City Council,-37.8562,144.9844,Southern Metropolitan,13240
Greensborough,20 Pembroke St,4,h,937000,S,Jellis,2017-10-28,16.1,3088,4,2,2,819,216,1970,Banyule City Council,-37.69532,145.11319,Northern Metropolitan,8524
Kew,5 Regency Gr,4,h,2045000,S,Fletchers,2017-08-26,5.4,3101,4,3,2,523,216,1970,Boroondara City Council,-37.80828,145.06027,Southern Metropolitan,10331
Sunshine West,2 Daley St,3,h,700000,S,Purplebricks,2017-10-07,10.5,3020,3,1,2,695,111,1970,Brimbank City Council,-37.78561,144.80739,Western Metropolitan,6763
Camberwell,39 Alma Rd,5,h,1869914,SP,RT,2017-10-28,7.7,3124,5,3,2,883,335,1880,Boroondara City Council,-37.8366,145.05606,Southern Metropolitan,8920
Doncaster East,25 Dryden St,3,h,1065000,S,Noel,2017-12-09,14.3,3109,3,2,1,578,139,1970,Manningham City Council,-37.78569,145.15851,Eastern Metropolitan,10999
Glenroy,2/30 Gladstone Pde,3,t,680000,S,Eview,2017-09-16,11.2,3046,3,1,1,484,115,2009,Moreland City Council,-37.70768,144.91151,Northern Metropolitan,8870
Croydon,31 Woodland Av,5,h,1869914,PI,Philip,2017-11-18,23.0,3136,5,2,3,1089,335,1970,Maroondah City Council,-37.7938,145.268,Eastern Metropolitan,11925
Preston,33 George St,4,h,660000,PI,Barry,2016-06-27,8.8,3072,4,2,1,0,216,1970,Darebin City Council,-37.7337,144.9854,Northern Metropolitan,14577
Epping,17 Baystone Rd,4,h,600000,S,Ray,2017-11-25,19.6,3076,4,2,2,534,216,1970,Whittlesea City Council,-37.6479,145.0479,Northern Metropolitan,10926
Richmond,11 Shelley St,3,h,850000,VB,Marshall,2017-10-07,2.4,3121,3,2,0,99,59,1900,Yarra City Council,-37.81068,144.99394,Northern Metropolitan,14949
Werribee,15 Seine Cl,3,h,430000,S,YPA,2017-09-23,14.7,3030,3,1,1,454,139,1970,Wyndham City Council,-37.88178,144.66125,Western Metropolitan,16166
Williamstown,60 Hannan St,5,h,2760000,S,Sweeney,2017-06-03,6.8,3016,5,2,2,646,335,1970,Hobsons Bay City Council,-37.86253,144.88748,Western Metropolitan,6380
Coburg,21 Governors Rd,5,h,1335000,S,Nelson,2016-12-10,7.8,3058,5,3,2,390,335,1970,Darebin City Council,-37.7376,144.9726,Northern Metropolitan,11204
Fawkner,2/31 Princess St,2,t,763562,SN,Barry,2016-10-15,12.4,3060,2,2,1,148,132,2013,Hume City Council,-37.7177,144.9635,Northern Metropolitan,5070
Frankston North,17 Coolgardie St,3,h,500000,VB,hockingstuart,2017-10-07,36.9,3200,3,1,1,584,139,1970,Frankston City Council,-38.12564,145.15021,Eastern Victoria,2500
Footscray,3/8 Eleanor St,2,h,375000,S,Sweeney,2016-05-07,6.4,3011,2,1,1,0,92,1968,Maribyrnong City Council,-37.7906,144.8856,Western Metropolitan,7570
Brighton East,46 Glencairn Av,2,h,2303000,S,Buxton,2017-04-22,10.7,3187,3,1,2,478,92,1970,Bayside City Council,-37.918843333333335,145.01594,Southern Metropolitan,6938
Rosanna,2/23 Ruthven St,3,t,745000,SP,Darren,2017-10-21,8.9,3084,3,1,2,542,139,1970,Banyule City Council,-37.740225,145.06990499999998,Eastern Metropolitan,3540
Newport,53 Mason St,4,h,1115000,S,Greg,2017-03-18,8.4,3015,4,1,1,0,163,1880,Hobsons Bay City Council,-37.8423,144.8795,Western Metropolitan,5498
Heidelberg Heights,49C Dresden St,2,t,680000,S,Jellis,2017-05-27,8.8,3081,2,1,1,129,106,2013,Banyule City Council,-37.74931,145.05505,Eastern Metropolitan,2947
Craigieburn,3 Riverway Vw,3,h,470000,S,YPA,2017-07-29,20.6,3064,3,1,2,464,139,1970,Hume City Council,-37.58342083333333,144.91143666666667,Northern Metropolitan,15510
Vermont South,7 Rutherglen Rd,5,h,1869914,PI,Noel,2018-02-03,17.2,3133,5,3,2,613,400,2008,Whitehorse City Council,-37.85154,145.19804,Eastern Metropolitan,4280
